Hillary,Trump,total,county_name,state_abbreviation
797,2059,3064,Custer County,CO
4048,11584,16661,Delta County,CO
174611,43637,232291,Denver County,CO
227,936,1230,Dolores County,CO
67045,100178,182918,Douglas County,CO
12652,8153,22611,Eagle County,CO
3056,11536,15689,Elbert County,CO
105807,176506,313273,El Paso County,CO
5275,15066,21880,Fremont County,CO
11205,13071,26328,Garfield County,CO
1634,1564,3574,Gilpin County,CO
3319,4467,8513,Grand County,CO
5068,3250,9299,Gunnison County,CO
197,339,589,Hinsdale County,CO
1631,1875,3772,Huerfano County,CO
171,628,862,Jackson County,CO
151885,130233,309529,Jefferson County,CO
91,726,853,Kiowa County,CO
526,2894,3613,Kit Carson County,CO
1600,1264,3175,Lake County,CO
15300,12471,30722,La Plata County,CO
92170,82624,193897,Larimer County,CO
2614,3656,6693,Las Animas County,CO
399,1873,2402,Lincoln County,CO
1843,7272,9702,Logan County,CO
20958,48129,74876,Mesa County,CO
237,344,652,Mineral County,CO
874,5293,6510,Moffat County,CO
3920,7771,12706,Montezuma County,CO
5438,14303,21070,Montrose County,CO
3128,8104,11888,Morgan County,CO
1719,2988,5038,Otero County,CO
1690,1337,3287,Ouray County,CO
3351,6053,10245,Park County,CO
436,1791,2332,Phillips County,CO
7239,2522,10387,Pitkin County,CO
1173,3508,4978,Prowers County,CO
27945,27746,60112,Pueblo County,CO
433,2782,3436,Rio Blanco County,CO
1985,3060,5488,Rio Grande County,CO
7487,5149,13772,Routt County,CO
1345,1109,2707,Saguache County,CO
265,215,506,San Juan County,CO
2960,1030,4311,San Miguel County,CO
267,1015,1364,Sedgwick County,CO
9502,5064,16061,Summit County,CO
3547,9580,14203,Teller County,CO
289,2284,2708,Washington County,CO
45869,75882,133790,Weld County,CO
701,3755,4664,Yuma County,CO
238723,155457,410279,Fairfield County,CT
233789,147912,399219,Hartford County,CT
39836,53376,97434,Litchfield County,CT
45306,38847,88402,Middlesex County,CT
203601,158373,375909,New Haven County,CT
62951,54574,124527,New London County,CT
38450,33989,77069,Tolland County,CT
21776,25738,50703,Windham County,CT
33347,36989,74253,Kent County,DE
162905,85507,261468,New Castle County,DE
39329,62607,105814,Sussex County,DE
75370,46584,127827,Alachua County,FL
2112,10294,12634,Baker County,FL
21689,62010,87151,Bay County,FL
